Time_Taken,Node 1,Node 2,Node 3,Node 4,Node 5
0,0,0,0,0,0
3,0,0,0,0,0
7,0,0,0,0,0
10,0,0,0,0,0
13,0,0,0,0,0
16,0,0,0,0,0
19,0,0,0,0,0
22,0,0,0,0,0
25,0,0,0,0,0
28,0,0,0,0,0
31,0,0,0,0,0
34,0,0,0,0,0
37,0,0,0,0,0
40,0,0,0,0,0
43,0,0,0,0,0
45,0,0,0,0,0
47,0,0,0,0,0
50,0,0,0,0,0
54,0,0,0,0,0
57,0,0,0,0,0
60,0,0,0,0,0
63,0,0,0,0,0
66,0,0,0,0,0
69,0,0,0,0,0
72,0,0,0,0,0
75,0,0,0,0,0
78,0,0,0,0,0
81,0,0,0,0,0
84,0,0,0,0,0
87,0,0,0,0,0
90,0,0,0,0,0
93,0,0,0,0,0
96,0,0,0,0,0
99,0,0,0,0,0
102,0,0,0,0,0
106,0,0,0,0,0
109,0,0,0,0,0
112,0,0,0,0,0
115,0,0,0,0,0
118,0,0,0,0,0
121,0,0,0,0,0
124,0,0,0,0,0
127,0,0,0,0,0
130,0,0,0,0,0
134,0,0,0,0,0
138,0,0,0,0,0
142,0,0,0,0,0
146,0,0,0,0,0
150,0.037999999,0,0,0,0
154,0.115999997,0,0,0,0
157,0.182999998,0,0,0,0
160,0.247999996,0,0,0,0
162,0.308999985,0,0,0,0
164,0.344999999,0,0,0,0
166,0.379999995,0,0,0,0
168,0.419,0,0,0,0
170,0.448000014,0,0,0,0
172,0.474000007,0,0,0,0
174,0.495999992,0,0,0,0
177,0.524999976,0,0,0,0
179,0.541000009,0,0,0,0
181,0.55400002,0,0,0,0
183,0.569999993,0,0,0,0
185,0.583000004,0,0,0,0
187,0.592999995,0,0,0,0
189,0.606000006,0,0,0,0
191,0.619000018,0,0,0,0
193,0.632000029,0,0,0,0
195,0.644999981,0,0,0,0
197,0.657999992,0,0,0,0
199,0.670000017,0,0,0,0
201,0.686999977,0,0,0,0
204,0.699999988,0,0,0,0
206,0.70599997,0,0,0,0
208,0.716000021,0,0,0,0
210,0.725000024,0,0,0,0
212,0.735000014,0,0,0,0
214,0.745000005,0,0,0,0
216,0.750999987,0,0,0,0
218,0.760999978,0,0,0,0
220,0.763999999,0,0,0,0
222,0.76700002,0,0,0,0
224,0.773999989,0,0,0,0
226,0.77700001,0,0,0,0
228,0.782999992,0,0,0,0
230,0.790000021,0,0,0,0
232,0.800000012,0,0,0,0
234,0.805999994,0,0,0,0
236,0.811999977,0,0,0,0
238,0.819000006,0,0,0,0
240,0.828999996,0,0,0,0
242,0.832000017,0,0,0,0
244,0.834999979,0,0,0,0
246,0.841000021,0,0,0,0
248,0.845000029,0,0,0,0
250,0.84799999,0,0,0,0
253,0.851000011,0,0,0,0
255,0.851000011,0,0,0,0
257,0.85799998,0,0,0,0
259,0.861000001,0,0,0,0
261,0.864000022,0,0,0,0
263,0.866999984,0,0,0,0
265,0.870000005,0,0,0,0
267,0.874000013,0,0,0,0
269,0.874000013,0,0,0,0
272,0.876999974,0,0,0,0
275,0.883000016,0,0,0,0
278,0.883000016,0,0,0,0
281,0.887000024,0,0,0,0
284,0.889999986,0,0,0,0
287,0.893000007,0,0,0,0
290,0.896000028,0,0,0,0
293,0.896000028,0,0,0,0
296,0.899999976,0,0,0,0
298,0.899999976,0,0,0,0
300,0.902999997,0,0,0,0
302,0.902999997,0,0,0,0
304,0.906000018,0,0,0,0
307,0.906000018,0,0,0,0
309,0.908999979,0,0,0,0
311,0.912,0,0,0,0
313,0.912,0,0,0,0
315,0.916000009,0,0,0,0
317,0.916000009,0,0,0,0
319,0.91900003,0,0,0,0
321,0.921999991,0,0,0,0
323,0.925000012,0,0,0,0
325,0.92900002,0,0,0,0
327,0.92900002,0,0,0,0
329,0.931999981,0.003,0,0,0
331,0.935000002,0.009,0,0,0
333,0.935000002,0.012,0,0,0
335,0.940999985,0.022,0,0,0
337,0.944999993,0.032000002,0,0,0
339,0.948000014,0.041000001,0,0,0
341,0.948000014,0.045000002,0,0,0
343,0.950999975,0.054000001,0,0,0
345,0.953999996,0.067000002,0,0,0
347,0.953999996,0.082999997,0,0,0
349,0.961000025,0.103,0,0,0
351,0.970000029,0.115999997,0,0,0
353,0.973999977,0.122000001,0,0,0
356,0.976999998,0.131999999,0,0,0
358,0.976999998,0.141000003,0,0,0
360,0.980000019,0.148000002,0,0,0
362,0.980000019,0.160999998,0,0,0
364,0.98299998,0.173999995,0,0,0
366,0.98299998,0.182999998,0,0,0
368,0.986999989,0.200000003,0,0,0
370,0.986999989,0.206,0,0,0
372,0.986999989,0.211999997,0,0,0
374,0.986999989,0.224999994,0,0,0
376,0.986999989,0.231999993,0,0,0
378,0.98299998,0.240999997,0,0,0
380,0.986999989,0.247999996,0,0,0
383,0.986999989,0.257999986,0,0,0
386,0.98299998,0.270000011,0,0,0
389,0.98299998,0.282999992,0,0,0
392,0.986999989,0.296000004,0,0,0
395,0.986999989,0.305999994,0,0,0
398,0.98299998,0.316000015,0,0,0
401,0.98299998,0.328999996,0,0,0
405,0.98299998,0.338,0,0,0
408,0.98299998,0.344999999,0,0,0
411,0.98299998,0.351000011,0,0,0
414,0.98299998,0.354000002,0,0,0
417,0.98299998,0.363999993,0,0,0
420,0.98299998,0.367000014,0,0,0
423,0.98299998,0.379999995,0,0,0
426,0.98299998,0.386999995,0,0,0
429,0.98299998,0.389999986,0,0,0
432,0.98299998,0.400000006,0,0,0
435,0.98299998,0.409000009,0,0,0
438,0.98299998,0.416000009,0,0,0
441,0.98299998,0.421999991,0,0,0
444,0.98299998,0.42899999,0,0,0
447,0.98299998,0.435000002,0,0,0
450,0.98299998,0.453999996,0,0,0
454,0.98299998,0.460999995,0,0,0
457,0.98299998,0.469999999,0,0,0
460,0.98299998,0.479999989,0,0,0
463,0.98299998,0.493000001,0,0,0
466,0.98299998,0.495999992,0,0,0
469,0.98299998,0.503000021,0,0,0
472,0.98299998,0.518999994,0,0,0
475,0.98299998,0.524999976,0,0,0
478,0.98299998,0.528999984,0,0,0
481,0.98299998,0.532000005,0,0,0
484,0.986999989,0.535000026,0,0,0
487,0.98299998,0.547999978,0,0,0
490,0.98299998,0.550999999,0,0,0
493,0.986999989,0.56099999,0,0,0
496,0.986999989,0.56099999,0,0,0
498,0.986999989,0.566999972,0,0,0
500,0.986999989,0.574000001,0,0,0
503,0.986999989,0.577000022,0,0,0
505,0.986999989,0.577000022,0,0,0
507,0.986999989,0.579999983,0,0,0
509,0.986999989,0.587000012,0,0,0
512,0.986999989,0.589999974,0,0,0
515,0.986999989,0.592999995,0,0,0
518,0.99000001,0.596000016,0,0,0
521,0.986999989,0.600000024,0,0,0
524,0.99000001,0.609000027,0,0,0
527,0.99000001,0.611999989,0,0,0
530,0.99000001,0.619000018,0,0,0
532,0.99000001,0.621999979,0,0,0
534,0.99000001,0.621999979,0,0,0
536,0.99000001,0.63499999,0,0,0
538,0.99000001,0.638000011,0,0,0
540,0.99000001,0.638000011,0,0,0
542,0.99000001,0.644999981,0,0,0
544,0.99000001,0.651000023,0,0,0
546,0.99000001,0.651000023,0,0,0
548,0.992999971,0.651000023,0,0,0
551,0.992999971,0.651000023,0,0,0
553,0.992999971,0.657999992,0,0,0
555,0.992999971,0.661000013,0,0,0
557,0.992999971,0.663999975,0,0,0
559,0.992999971,0.663999975,0,0,0
561,0.995999992,0.663999975,0,0,0
563,0.995999992,0.670000017,0,0,0
565,0.992999971,0.670000017,0,0,0
567,0.992999971,0.670000017,0,0,0
569,0.995999992,0.674000025,0,0,0
571,0.992999971,0.683000028,0,0,0
573,0.995999992,0.683000028,0,0,0
575,0.992999971,0.686999977,0.032000002,0,0
577,0.995999992,0.689999998,0.054000001,0,0
579,0.992999971,0.693000019,0.086999997,0,0
581,0.995999992,0.693000019,0.105999999,0,0
583,0.992999971,0.69599998,0.122000001,0,0
585,0.995999992,0.69599998,0.141000003,0,0
587,0.992999971,0.699999988,0.153999999,0,0
589,0.992999971,0.703000009,0.164000005,0,0
591,0.992999971,0.703000009,0.180000007,0,0
593,0.992999971,0.70599997,0.202999994,0,0
595,0.992999971,0.70599997,0.224999994,0,0
597,0.992999971,0.70599997,0.250999987,0,0
599,0.992999971,0.708999991,0.273999989,0,0
602,0.992999971,0.708999991,0.289999992,0,0
604,0.992999971,0.712000012,0.305999994,0,0
606,0.995999992,0.716000021,0.321999997,0,0
608,0.992999971,0.716000021,0.335000008,0,0
610,0.995999992,0.716000021,0.344999999,0,0
612,0.992999971,0.718999982,0.354000002,0,0
614,0.992999971,0.718999982,0.367000014,0,0
616,0.995999992,0.722000003,0.379999995,0,0
619,0.995999992,0.722000003,0.393000007,0,0
621,0.995999992,0.728999972,0.400000006,0,0
624,0.995999992,0.728999972,0.416000009,0,0
627,0.995999992,0.731999993,0.432000011,0,0
629,0.995999992,0.731999993,0.441000015,0,0
631,0.995999992,0.735000014,0.451000005,0,0
633,0.995999992,0.735000014,0.460999995,0,0
635,0.995999992,0.735000014,0.469999999,0,0
637,0.995999992,0.735000014,0.476999998,0,0
639,0.995999992,0.737999976,0.48300001,0,0
641,0.995999992,0.737999976,0.49000001,0,0
643,0.995999992,0.740999997,0.495999992,0,0
645,0.995999992,0.745000005,0.503000021,0,0
647,0.995999992,0.748000026,0.509000003,0,0
650,0.995999992,0.748000026,0.512000024,0,0
652,0.995999992,0.750999987,0.522000015,0,0
654,0.995999992,0.750999987,0.528999984,0,0
656,0.995999992,0.750999987,0.535000026,0,0
658,0.995999992,0.754000008,0.537999988,0,0
660,0.995999992,0.754000008,0.545000017,0,0
662,0.995999992,0.758000016,0.550999999,0,0
664,0.995999992,0.760999978,0.55400002,0,0
666,0.995999992,0.760999978,0.56099999,0,0
668,0.995999992,0.760999978,0.56400001,0,0
670,0.995999992,0.760999978,0.569999993,0,0
672,0.995999992,0.763999999,0.574000001,0,0
674,0.995999992,0.763999999,0.577000022,0,0
676,0.995999992,0.763999999,0.583000004,0,0
678,0.995999992,0.76700002,0.583000004,0,0
680,0.995999992,0.769999981,0.587000012,0,0
682,0.995999992,0.769999981,0.589999974,0,0
684,0.995999992,0.769999981,0.592999995,0,0
686,0.995999992,0.769999981,0.596000016,0,0
688,0.995999992,0.773999989,0.600000024,0,0
690,0.995999992,0.773999989,0.602999985,0,0
692,0.995999992,0.773999989,0.609000027,0,0
694,0.995999992,0.77700001,0.611999989,0,0
696,0.995999992,0.779999971,0.615999997,0,0
699,0.995999992,0.779999971,0.619000018,0,0
701,0.995999992,0.779999971,0.619000018,0,0
703,0.995999992,0.779999971,0.621999979,0,0
705,0.995999992,0.782999992,0.625,0,0
707,0.995999992,0.787,0.629000008,0,0
709,0.995999992,0.787,0.632000029,0,0
712,0.995999992,0.790000021,0.632000029,0,0
715,0.995999992,0.790000021,0.63499999,0,0
718,0.995999992,0.796000004,0.640999973,0,0
721,0.995999992,0.811999977,0.644999981,0,0
724,0.995999992,0.811999977,0.648000002,0,0
727,0.995999992,0.822000027,0.651000023,0,0
729,0.995999992,0.828999996,0.657999992,0,0
731,0.995999992,0.832000017,0.661000013,0,0
733,0.995999992,0.832000017,0.661000013,0,0
735,0.995999992,0.832000017,0.663999975,0,0
737,1,0.834999979,0.663999975,0,0
739,0.995999992,0.832000017,0.663999975,0,0
741,0.995999992,0.834999979,0.666999996,0,0
744,1,0.834999979,0.666999996,0,0
749,0.995999992,0.834999979,0.670000017,0,0
753,0.995999992,0.838,0.674000025,0,0
757,0.995999992,0.838,0.674000025,0,0
761,1,0.838,0.676999986,0,0
765,1,0.841000021,0.680000007,0,0
768,1,0.841000021,0.683000028,0,0
771,0.995999992,0.841000021,0.683000028,0,0
774,0.995999992,0.845000029,0.683000028,0,0
777,0.995999992,0.845000029,0.686999977,0,0
780,1,0.845000029,0.686999977,0,0
783,1,0.845000029,0.689999998,0,0
786,1,0.84799999,0.689999998,0,0
789,0.995999992,0.84799999,0.689999998,0,0
792,1,0.851000011,0.686999977,0,0
795,0.995999992,0.851000011,0.689999998,0,0
799,1,0.853999972,0.689999998,0,0
802,1,0.853999972,0.69599998,0,0
805,1,0.85799998,0.69599998,0,0
808,1,0.85799998,0.69599998,0,0
811,1,0.85799998,0.699999988,0,0
814,0.995999992,0.861000001,0.699999988,0,0
817,0.995999992,0.861000001,0.703000009,0,0
820,1,0.864000022,0.703000009,0,0
823,1,0.864000022,0.703000009,0,0
826,1,0.866999984,0.70599997,0,0
829,1,0.866999984,0.70599997,0,0
832,1,0.870000005,0.70599997,0,0
835,1,0.870000005,0.70599997,0,0
838,1,0.870000005,0.708999991,0,0
841,1,0.870000005,0.712000012,0,0
844,1,0.870000005,0.712000012,0,0
848,0.995999992,0.870000005,0.716000021,0,0
851,1,0.874000013,0.716000021,0,0
854,1,0.870000005,0.716000021,0,0
857,1,0.874000013,0.718999982,0,0
860,1,0.874000013,0.718999982,0,0
863,1,0.874000013,0.718999982,0,0
866,1,0.876999974,0.722000003,0,0
869,1,0.876999974,0.722000003,0,0
873,1,0.876999974,0.725000024,0,0
877,1,0.879999995,0.725000024,0,0
881,1,0.879999995,0.728999972,0.003,0
885,1,0.879999995,0.728999972,0.012,0
889,1,0.883000016,0.731999993,0.025,0
893,1,0.883000016,0.735000014,0.037999999,0
898,1,0.887000024,0.735000014,0.054000001,0
902,1,0.887000024,0.737999976,0.07,0
906,1,0.889999986,0.737999976,0.090000004,0
910,1,0.887000024,0.737999976,0.103,0
914,1,0.887000024,0.740999997,0.119000003,0
918,1,0.887000024,0.740999997,0.131999999,0
922,1,0.887000024,0.745000005,0.144999996,0
926,1,0.887000024,0.745000005,0.158000007,0
930,1,0.887000024,0.745000005,0.166999996,0
933,1,0.887000024,0.748000026,0.173999995,0
936,1.003000021,0.887000024,0.745000005,0.180000007,0
939,1.003000021,0.887000024,0.748000026,0.187000006,0
942,1.003000021,0.887000024,0.750999987,0.195999995,0
946,1.003000021,0.887000024,0.750999987,0.206,0
949,1.003000021,0.887000024,0.754000008,0.211999997,0
952,1.003000021,0.889999986,0.754000008,0.218999997,0
955,1.003000021,0.889999986,0.758000016,0.229000002,0
958,1.003000021,0.889999986,0.758000016,0.231999993,0
960,1.003000021,0.889999986,0.758000016,0.234999999,0
963,1.003000021,0.889999986,0.760999978,0.240999997,0
965,1.003000021,0.889999986,0.760999978,0.250999987,0
967,1.003000021,0.889999986,0.760999978,0.250999987,0
969,1.003000021,0.889999986,0.760999978,0.257999986,0
972,1.003000021,0.887000024,0.763999999,0.261000007,0
974,1.003000021,0.889999986,0.763999999,0.263999999,0
976,1.003000021,0.889999986,0.763999999,0.263999999,0
978,1.003000021,0.889999986,0.76700002,0.26699999,0
980,1.003000021,0.889999986,0.76700002,0.270000011,0
982,1.003000021,0.889999986,0.76700002,0.273999989,0
984,1.003000021,0.889999986,0.76700002,0.280000001,0
986,1.003000021,0.889999986,0.769999981,0.282999992,0
988,1.003000021,0.889999986,0.769999981,0.289999992,0
992,1.003000021,0.889999986,0.769999981,0.296000004,0
995,1.006000042,0.889999986,0.769999981,0.296000004,0
998,1.006000042,0.889999986,0.77700001,0.303000003,0
1001,1.006000042,0.889999986,0.77700001,0.305999994,0
1004,1.006000042,0.889999986,0.77700001,0.312000006,0
1007,1.003000021,0.893000007,0.77700001,0.312000006,0
1010,1.003000021,0.889999986,0.779999971,0.321999997,0
1013,1.006000042,0.889999986,0.779999971,0.324999988,0
1016,1.006000042,0.893000007,0.779999971,0.324999988,0
1019,1.006000042,0.889999986,0.782999992,0.328999996,0
1022,1.006000042,0.893000007,0.782999992,0.335000008,0
1025,1.006000042,0.893000007,0.782999992,0.338,0
1028,1.006000042,0.893000007,0.787,0.338,0
1031,1.006000042,0.893000007,0.787,0.340999991,0
1034,1.006000042,0.893000007,0.787,0.34799999,0
1038,1.006000042,0.893000007,0.790000021,0.351000011,0
1041,1.006000042,0.893000007,0.790000021,0.351000011,0
1044,1.006000042,0.893000007,0.792999983,0.35800001,0
1047,1.006000042,0.893000007,0.796000004,0.361000001,0
1050,1.006000042,0.893000007,0.796000004,0.361000001,0
1053,1.006000042,0.893000007,0.796000004,0.361000001,0
1056,1.006000042,0.893000007,0.800000012,0.363999993,0
1059,1.006000042,0.893000007,0.802999973,0.367000014,0
1062,1.006000042,0.893000007,0.805999994,0.374000013,0
1065,1.006000042,0.893000007,0.805999994,0.377000004,0
1068,1.006000042,0.893000007,0.809000015,0.379999995,0
1071,1.006000042,0.893000007,0.809000015,0.386999995,0
1074,1.006000042,0.893000007,0.809000015,0.386999995,0
1077,1.006000042,0.893000007,0.811999977,0.393000007,0
1080,1.006000042,0.893000007,0.811999977,0.393000007,0
1083,1.006000042,0.893000007,0.811999977,0.393000007,0
1086,1.006000042,0.893000007,0.815999985,0.393000007,0
1089,1.006000042,0.893000007,0.815999985,0.395999998,0
1091,1.006000042,0.893000007,0.815999985,0.395999998,0
1094,1.003000021,0.893000007,0.815999985,0.400000006,0
1096,1.006000042,0.896000028,0.815999985,0.400000006,0
1098,1.006000042,0.893000007,0.819000006,0.400000006,0
1100,1.006000042,0.893000007,0.819000006,0.402999997,0
1102,1.006000042,0.896000028,0.819000006,0.402999997,0
1104,1.006000042,0.893000007,0.822000027,0.405999988,0
1106,1.006000042,0.893000007,0.819000006,0.405999988,0
1108,1.006000042,0.893000007,0.822000027,0.405999988,0
1110,1.006000042,0.893000007,0.822000027,0.409000009,0
1112,1.006000042,0.896000028,0.819000006,0.409000009,0
1114,1.006000042,0.893000007,0.824999988,0.412,0
1116,1.006000042,0.893000007,0.824999988,0.412,0
1118,1.006000042,0.896000028,0.824999988,0.412,0
1120,1.006000042,0.896000028,0.824999988,0.412,0
1122,1.006000042,0.893000007,0.824999988,0.416000009,0
1124,1.006000042,0.896000028,0.828999996,0.419,0
1126,1.006000042,0.893000007,0.828999996,0.416000009,0
1128,1.006000042,0.896000028,0.828999996,0.419,0
1130,1.006000042,0.896000028,0.828999996,0.421999991,0
1133,1.006000042,0.896000028,0.832000017,0.419,0
1135,1.006000042,0.893000007,0.832000017,0.419,0
1137,1.006000042,0.896000028,0.828999996,0.425000012,0
1139,1.006000042,0.896000028,0.832000017,0.42899999,0
1141,1.006000042,0.896000028,0.832000017,0.432000011,0
1143,1.006000042,0.896000028,0.832000017,0.432000011,0
1145,1.003000021,0.896000028,0.834999979,0.432000011,0
1147,1.006000042,0.896000028,0.834999979,0.435000002,0
1149,1.006000042,0.896000028,0.834999979,0.441000015,0
1151,1.006000042,0.896000028,0.838,0.444999993,0
1153,1.006000042,0.896000028,0.838,0.444999993,0
1155,1.006000042,0.896000028,0.838,0.448000014,0
1157,1.006000042,0.896000028,0.838,0.448000014,0
1159,1.006000042,0.893000007,0.838,0.448000014,0
1161,1.003000021,0.896000028,0.838,0.451000005,0
1163,1.006000042,0.896000028,0.841000021,0.451000005,0
1166,1.006000042,0.896000028,0.838,0.451000005,0
1169,1.006000042,0.893000007,0.841000021,0.453999996,0
1172,1.006000042,0.896000028,0.841000021,0.453999996,0
1175,1.006000042,0.896000028,0.845000029,0.458000004,0
1179,1.006000042,0.896000028,0.845000029,0.458000004,0
1182,1.003000021,0.896000028,0.845000029,0.460999995,0
1185,1.006000042,0.896000028,0.84799999,0.463999987,0
1188,1.006000042,0.896000028,0.84799999,0.463999987,0
1191,1.003000021,0.896000028,0.84799999,0.463999987,0
1194,1.003000021,0.896000028,0.851000011,0.463999987,0
1197,1.003000021,0.896000028,0.853999972,0.469999999,0
1200,1.003000021,0.896000028,0.853999972,0.469999999,0
1203,1.003000021,0.896000028,0.853999972,0.469999999,0
1206,1.003000021,0.896000028,0.85799998,0.474000007,0
1209,1.003000021,0.896000028,0.85799998,0.476999998,0
1212,1.003000021,0.896000028,0.85799998,0.476999998,0
1215,1.003000021,0.896000028,0.85799998,0.476999998,0
1218,1.003000021,0.896000028,0.85799998,0.476999998,0
1221,1.003000021,0.896000028,0.85799998,0.476999998,0
1224,1.003000021,0.896000028,0.861000001,0.479999989,0
1228,1.003000021,0.896000028,0.861000001,0.48300001,0
1231,1,0.896000028,0.861000001,0.48300001,0
1234,1.003000021,0.896000028,0.864000022,0.486999989,0.006
1236,1.003000021,0.896000028,0.864000022,0.486999989,0.009
1238,1.003000021,0.896000028,0.864000022,0.486999989,0.006
1240,1.003000021,0.896000028,0.864000022,0.49000001,0.012
1243,1.003000021,0.896000028,0.864000022,0.49000001,0.018999999
1246,1.003000021,0.896000028,0.866999984,0.493000001,0.025
1249,1.003000021,0.896000028,0.866999984,0.49000001,0.032000002
1252,1.003000021,0.896000028,0.866999984,0.493000001,0.035
1255,1.003000021,0.896000028,0.866999984,0.493000001,0.041000001
1258,1.003000021,0.896000028,0.870000005,0.495999992,0.048
1261,1.003000021,0.896000028,0.870000005,0.493000001,0.064000003
1264,1.003000021,0.896000028,0.870000005,0.495999992,0.077
1267,1.003000021,0.896000028,0.870000005,0.5,0.086999997
1270,1.003000021,0.896000028,0.870000005,0.5,0.093000002
1273,1.003000021,0.896000028,0.874000013,0.5,0.105999999
1277,1,0.896000028,0.874000013,0.5,0.115999997
1280,1.003000021,0.896000028,0.874000013,0.503000021,0.135000005
1283,1.003000021,0.896000028,0.874000013,0.503000021,0.144999996
1286,1,0.896000028,0.876999974,0.505999982,0.153999999
1289,1.003000021,0.896000028,0.876999974,0.505999982,0.166999996
1292,1.003000021,0.896000028,0.876999974,0.505999982,0.177000001
1295,1.003000021,0.896000028,0.876999974,0.509000003,0.193000004
1298,1.003000021,0.896000028,0.876999974,0.509000003,0.206
1301,1,0.896000028,0.876999974,0.512000024,0.222000003
1304,1,0.896000028,0.876999974,0.512000024,0.238000005
1307,1,0.899999976,0.879999995,0.512000024,0.250999987
1310,1.003000021,0.896000028,0.879999995,0.512000024,0.261000007
1313,1,0.899999976,0.879999995,0.515999973,0.270000011
1316,1,0.899999976,0.879999995,0.515999973,0.282999992
1319,1,0.899999976,0.883000016,0.515999973,0.293000013
1322,1,0.896000028,0.879999995,0.515999973,0.303000003
1325,1,0.896000028,0.883000016,0.515999973,0.312000006
1329,1,0.896000028,0.883000016,0.515999973,0.321999997
1332,1,0.899999976,0.883000016,0.515999973,0.328999996
1335,1,0.899999976,0.887000024,0.518999994,0.338
1338,1,0.899999976,0.887000024,0.522000015,0.34799999
1341,1,0.896000028,0.887000024,0.522000015,0.351000011
1344,1,0.899999976,0.887000024,0.522000015,0.35800001
1347,1,0.899999976,0.887000024,0.524999976,0.363999993
1350,1,0.899999976,0.889999986,0.524999976,0.374000013
1353,1,0.899999976,0.889999986,0.528999984,0.377000004
1356,1,0.896000028,0.889999986,0.528999984,0.382999986
1359,1,0.896000028,0.889999986,0.528999984,0.393000007
1362,1,0.896000028,0.889999986,0.528999984,0.400000006
1365,1,0.899999976,0.893000007,0.528999984,0.405999988
1368,1,0.899999976,0.893000007,0.528999984,0.412
1371,1,0.899999976,0.889999986,0.535000026,0.421999991
1374,1,0.899999976,0.893000007,0.532000005,0.42899999
1378,1,0.896000028,0.893000007,0.535000026,0.435000002
1381,1,0.899999976,0.893000007,0.541000009,0.437999994
1384,1,0.899999976,0.896000028,0.541000009,0.444999993
1387,1,0.899999976,0.896000028,0.545000017,0.451000005
1390,1,0.899999976,0.896000028,0.545000017,0.458000004
1394,1,0.899999976,0.896000028,0.541000009,0.463999987
1398,1,0.896000028,0.899999976,0.541000009,0.469999999
1402,1,0.899999976,0.899999976,0.545000017,0.476999998
1406,1,0.899999976,0.899999976,0.547999978,0.48300001
1410,1,0.899999976,0.902999997,0.550999999,0.49000001
1414,1,0.899999976,0.902999997,0.55400002,0.495999992
1418,1,0.899999976,0.902999997,0.558000028,0.503000021
1422,1,0.899999976,0.902999997,0.558000028,0.509000003
1427,1,0.899999976,0.906000018,0.56099999,0.515999973
1431,1,0.899999976,0.906000018,0.56099999,0.518999994
1434,1,0.899999976,0.908999979,0.56400001,0.528999984
1436,1,0.899999976,0.906000018,0.56400001,0.532000005
1438,1,0.899999976,0.908999979,0.56400001,0.535000026
1440,1.003000021,0.899999976,0.908999979,0.566999972,0.537999988
1442,1,0.899999976,0.908999979,0.56400001,0.541000009
1444,1,0.899999976,0.908999979,0.566999972,0.541000009
1446,1,0.899999976,0.908999979,0.566999972,0.545000017
1448,1.003000021,0.899999976,0.908999979,0.566999972,0.547999978
1450,1,0.899999976,0.908999979,0.566999972,0.550999999
1452,1,0.899999976,0.908999979,0.566999972,0.550999999
1454,1,0.899999976,0.908999979,0.566999972,0.55400002
1456,1.003000021,0.899999976,0.908999979,0.569999993,0.558000028
1458,1.003000021,0.899999976,0.912,0.569999993,0.558000028
